equipo_id,equipo_desc,tipo,subtipo,servicios,areas,muestras,tipo_institucion_descripcion,provincia
SNM-826,Microscopio,Electrónico,SEM,Muestras | Técnicas | Análisis cualitativo | Análisis de imagen | Análisis de partículas | Análisis de tamaño | Análisis morfológico | Análisis semicuantitativo | Toma de imágenes,Antropología | Toxicología | Forense | Ambiente,Aleaciones | Biológica | Polimeros,Entidad administrativa de gobierno,BUENOS AIRES
SNCAD-483,Computadora de Alto Desempeño,No corresponde,No corresponde,,,,Organismo gubernamental de ciencia y tecnología,CABA
SNCAD-484,Computadora de Alto Desempeño,No corresponde,No corresponde,,,,Organismo gubernamental de ciencia y tecnología,CABA
SNEM-512,Espectrómetro de Masas,AEM-AMS,No corresponde,,,,Organismo gubernamental de ciencia y tecnología,CABA
SNM-77,Microscopio,Electrónico,SEM,Muestras | Técnicas | Análisis cualitativo | Análisis cuantitativo | Análisis de imagen | Análisis de partículas | Análisis de tamaño | Análisis semicuantitativo | Caracterización de superficies | Toma de imágenes,Ambiente | Ciencia de materiales | Ciencias agrarias | Fármacos | Forense | Minería extractiva | Antropología | Nanotecnología | Química y Petroquímica,Polimeros | Cerámicos | Biológica | Aleaciones,Organismo gubernamental de ciencia y tecnología,CABA
SNM-78,Microscopio,Electrónico,TEM,Muestras | Técnicas | Análisis de partículas | Análisis de tamaño,Nanotecnología | Ciencia de materiales,Polimeros | Aleaciones | Cerámicos,Organismo gubernamental de ciencia y tecnología,CABA
SNM-83,Microscopio,Electrónico,TEM,Técnicas,Ciencia de materiales,Cerámicos | Aleaciones | Polimeros,Organismo gubernamental de ciencia y tecnología,CABA
SNRM-519,Resonador Magnético,RMN,No corresponde,,,,Organismo gubernamental de ciencia y tecnología,CABA
SNRX-823,Rayos X,DRX,No corresponde,,,,Organismo gubernamental de ciencia y tecnología,RÍO NEGRO
SNRX-824,Rayos X,DRX,No corresponde,,,,Organismo gubernamental de ciencia y tecnología,RÍO NEGRO
SNM-47,Microscopio,Electrónico,SEM,Muestras | Técnicas | Toma de imágenes,Veterinaria | Antropología | Ciencias agrarias | Salud | Toxicología | Otros,Cerámicos | Otros | Biológica,Organismo gubernamental de ciencia y tecnología,CABA
SNB-123,Bioterio,Ensayos Biológicos | Investigación,,Servicio de hotelería,,,Organismo gubernamental de ciencia y tecnología,CABA
SNB-71,Bioterio,Producción,,No presta servicios,,,Organismo gubernamental de ciencia y tecnología,CABA
SNB-72,Bioterio,Investigación,,No presta servicios,,,Organismo gubernamental de ciencia y tecnología,CABA
SNB-74,Bioterio,Docencia | Ensayos Biológicos | Investigación,,Servicios de investigación y/o docencia,,,Organismo gubernamental de ciencia y tecnología,CABA
SNB-87,Bioterio,Producción,,No presta servicios,,,Organismo gubernamental de ciencia y tecnología,CABA
SNEM-1045,Espectrómetro de Masas,GCMS,No corresponde,Análisis cuantitativo | Análisis cualitativo | Muestras | Técnicas,Alimentos | Química de compuestos naturales,Orgánica | Biomoléculas (polímeros naturales),Organismo gubernamental de ciencia y tecnología,MENDOZA
